sku_id,category,name,mrp,DiscountPercent,AvailableQuantity,DiscountedSellingPrice,WeightInGms,OutofStock,quantity
1,Dairy,Curd,295.85,16.98,195,245.61,500,False,4
2,Snacks,Oreo,437.61,17.28,156,361.99,1000,False,8
3,Vegetables,Onion,491.49,1.85,142,482.4,500,False,5
4,Beverages,Coke,254.85,4.11,168,244.38,750,False,1
5,Dairy,Paneer,369.79,27.93,21,266.51,750,False,1
6,Vegetables,Onion,24.74,37.06,35,15.57,500,False,9
7,Vegetables,Onion,413.14,4.07,197,396.33,1000,False,9
8,Fruits,Orange,285.85,32.02,173,194.32,250,False,3
9,Beverages,Juice,248.37,15.88,31,208.93,1000,False,4
10,Dairy,Cheese,17.8,42.53,118,10.23,500,False,2
11,Fruits,Banana,384.11,6.28,79,359.99,250,False,1
12,Snacks,KurKure,266.32,17.02,62,220.99,1000,False,4
13,Fruits,Grapes,499.84,29.36,83,353.09,1000,False,8
14,Fruits,Grapes,152.3,1.03,164,150.73,100,False,8
15,Dairy,Milk,144.09,19.27,44,116.32,250,False,5
16,Beverages,Coffee,192.32,8.59,10,175.8,750,False,5
17,Fruits,Apple,55.99,32.53,170,37.78,100,False,4
18,Dairy,Cheese,450.28,38.83,113,275.44,1000,False,6
19,Dairy,Milk,330.88,43.23,21,187.84,100,False,5
20,Dairy,Paneer,141.05,17.59,110,116.24,250,False,4
21,Beverages,Juice,236.84,9.59,82,214.13,1000,False,7
22,Beverages,Tea,59.17,3.16,24,57.3,100,False,2
23,Snacks,Bingo,329.91,27.38,121,239.58,250,False,7
24,Beverages,Tea,417.23,27.32,36,303.24,1000,False,3
25,Vegetables,Tomato,229.85,29.05,133,163.08,750,False,5
26,Fruits,Banana,244.8,30.96,61,169.01,1000,False,8
27,Snacks,Parle-G,13.81,7.32,184,12.8,100,False,1
28,Dairy,Curd,462.29,19.13,113,373.85,100,False,4
29,Beverages,Coffee,59.22,17.93,99,48.6,1000,False,1
30,Dairy,Curd,132.63,13.97,135,114.1,750,False,8
31,Snacks,KurKure,160.76,2.47,103,156.79,750,False,2
32,Snacks,Parle-G,276.04,34.14,90,181.8,250,False,6
33,Dairy,Curd,451.98,23.57,162,345.45,1000,False,9
34,Dairy,Milk,344.38,40.27,193,205.7,500,False,6
35,Fruits,Banana,345.06,31.96,51,234.78,1000,False,3
36,Snacks,Lays,210.38,44.15,169,117.5,500,False,5
37,Dairy,Butter,84.63,32.74,40,56.92,100,False,6
38,Beverages,Coffee,261.23,48.78,195,133.8,100,False,2
39,Snacks,Oreo,157.7,37.5,74,98.56,500,False,4
40,Snacks,Lays,423.24,37.17,128,265.92,750,False,1
41,Fruits,Grapes,149.89,30.71,151,103.86,750,False,8
42,Beverages,Coke,328.88,14.48,125,281.26,500,False,4
43,Snacks,Bingo,398.7,1.06,42,394.47,750,False,3
44,Dairy,Cheese,120.88,35.33,198,78.17,1000,False,1
45,Beverages,Tea,115.84,38.96,37,70.71,500,False,6
46,Beverages,Juice,403.09,36.71,175,255.12,500,False,8
47,Vegetables,Carrot,463.83,38.33,97,286.04,100,False,3
48,Fruits,Apple,398.8,41.44,194,233.54,250,False,4
49,Fruits,Mango,18.33,40.9,147,10.83,100,False,6
50,Dairy,Milk,177.73,12.57,40,155.39,500,False,9
51,Fruits,Grapes,188.01,42.56,123,107.99,100,False,7
52,Beverages,Coke,185.0,22.21,49,143.91,100,False,9
53,Vegetables,Carrot,99.38,31.82,94,67.76,750,False,5
54,Snacks,Parle-G,168.47,43.3,199,95.52,100,False,4
55,Snacks,KurKure,130.28,38.36,70,80.3,1000,False,8
56,Fruits,Grapes,405.35,33.6,92,269.15,500,False,2
57,Beverages,Coffee,170.83,0.11,43,170.64,250,False,2
58,Snacks,Parle-G,263.71,22.22,164,205.11,750,False,6
59,Vegetables,Potato,423.96,0.18,164,423.2,100,False,8
60,Beverages,Tea,206.51,0.57,18,205.33,250,False,5
61,Fruits,Apple,86.69,19.63,111,69.67,250,False,1
62,Vegetables,Cabbage,25.65,21.38,99,20.17,500,False,8
63,Dairy,Cheese,306.29,32.78,33,205.89,500,False,5
64,Dairy,Butter,94.01,21.43,188,73.86,1000,False,8
65,Fruits,Apple,383.77,22.65,92,296.85,100,False,7
66,Dairy,Butter,57.08,35.28,181,36.94,250,False,2
67,Dairy,Curd,145.19,46.48,5,77.71,250,False,4
68,Fruits,Orange,53.79,41.9,164,31.25,750,False,2
69,Beverages,Juice,334.41,28.15,125,240.27,250,False,3
70,Fruits,Mango,222.47,1.27,177,219.64,750,False,3
71,Dairy,Butter,229.04,11.95,109,201.67,750,False,2
72,Fruits,Banana,287.83,47.49,116,151.14,500,False,9
73,Vegetables,Carrot,121.61,20.68,73,96.46,1000,False,3
74,Beverages,Tea,441.23,19.17,101,356.65,500,False,1
75,Vegetables,Carrot,246.48,42.8,194,140.99,750,False,1
76,Dairy,Milk,402.46,21.31,159,316.7,500,False,1
77,Snacks,Oreo,483.95,46.17,79,260.51,250,False,9
78,Dairy,Butter,251.71,35.7,179,161.85,750,False,2
79,Beverages,Juice,400.35,10.95,184,356.51,750,False,6
80,Snacks,Oreo,96.67,3.13,50,93.64,500,False,3
81,Dairy,Paneer,469.7,29.11,38,332.97,750,False,9
82,Vegetables,Tomato,22.91,35.94,162,14.68,750,False,5
83,Fruits,Mango,346.32,24.0,94,263.2,100,False,3
84,Beverages,Tea,257.33,16.33,30,215.31,100,False,7
85,Vegetables,Tomato,276.99,17.91,20,227.38,100,False,5
86,Dairy,Paneer,193.55,10.48,55,173.27,1000,False,7
87,Fruits,Apple,387.45,30.28,84,270.13,750,False,7
88,Snacks,Bingo,212.48,15.52,160,179.5,750,False,1
89,Dairy,Curd,389.63,0.9,166,386.12,1000,False,4
90,Fruits,Grapes,251.85,43.78,92,141.59,1000,False,4
91,Vegetables,Tomato,491.89,16.46,125,410.92,750,False,3
92,Beverages,Coke,246.97,21.26,3,194.46,500,False,2
93,Vegetables,Cabbage,234.06,42.57,101,134.42,100,False,6
94,Fruits,Mango,370.92,32.44,18,250.59,1000,False,9
95,Fruits,Mango,272.35,25.71,61,202.33,500,False,7
96,Snacks,Oreo,86.5,29.82,95,60.71,250,False,5
97,Dairy,Cheese,153.52,16.2,173,128.65,1000,False,9
98,Beverages,Coffee,84.57,27.46,75,61.35,500,False,2
99,Dairy,Cheese,147.32,21.8,180,115.2,1000,False,9
100,Fruits,Orange,149.3,2.18,186,146.05,500,False,9
101,Dairy,Paneer,458.46,2.21,162,448.33,100,False,4
102,Vegetables,Carrot,221.26,9.69,70,199.82,1000,False,8
103,Fruits,Orange,407.93,48.2,96,211.31,500,False,7
104,Dairy,Curd,433.03,20.3,28,345.12,1000,False,5
105,Beverages,Tea,73.71,32.06,140,50.08,100,False,6
106,Snacks,KurKure,456.48,5.24,113,432.56,250,False,5
107,Dairy,Curd,147.94,30.56,158,102.73,250,False,3
108,Snacks,Parle-G,276.08,10.9,94,245.99,750,False,8
109,Dairy,Curd,460.7,22.23,133,358.29,1000,False,2
110,Dairy,Paneer,268.22,26.49,87,197.17,1000,False,2
111,Beverages,Coffee,42.31,39.13,82,25.75,500,False,7
112,Vegetables,Carrot,47.44,6.36,116,44.42,1000,False,1
113,Beverages,Tea,445.7,8.09,71,409.64,250,False,5
114,Beverages,Coke,361.63,6.85,112,336.86,250,False,6
115,Beverages,Pepsi,60.62,35.45,8,39.13,250,False,6
116,Dairy,Butter,369.3,47.36,70,194.4,100,False,4
117,Snacks,Parle-G,418.01,27.07,67,304.85,250,False,1
118,Vegetables,Carrot,12.67,14.86,103,10.79,100,False,5
119,Beverages,Tea,271.78,22.5,136,210.63,100,False,5
120,Vegetables,Carrot,309.43,1.11,183,306.0,100,False,8
121,Beverages,Juice,72.43,36.1,104,46.28,1000,False,3
122,Beverages,Pepsi,362.35,12.48,28,317.13,750,False,1
123,Fruits,Mango,202.55,27.28,39,147.29,100,False,8
124,Snacks,Oreo,364.34,32.08,13,247.46,1000,False,2
125,Snacks,Lays,289.22,9.77,171,260.96,750,False,5
126,Dairy,Paneer,94.43,48.22,140,48.9,750,False,8
127,Beverages,Juice,428.56,8.33,160,392.86,500,False,1
128,Snacks,Bingo,116.69,40.38,6,69.57,250,False,3
129,Dairy,Cheese,184.57,45.13,126,101.27,500,False,9
130,Snacks,KurKure,436.52,7.19,155,405.13,1000,False,8
131,Beverages,Pepsi,171.11,24.62,48,128.98,1000,False,1
132,Fruits,Mango,448.09,31.11,93,308.69,500,False,8
133,Beverages,Coffee,275.74,26.9,99,201.57,750,False,7
134,Beverages,Coffee,177.56,42.86,111,101.46,500,False,6
135,Beverages,Coffee,338.26,22.79,75,261.17,250,False,7
136,Snacks,Bingo,412.36,46.9,172,218.96,500,False,7
137,Fruits,Orange,321.75,43.9,165,180.5,100,False,8
138,Snacks,Bingo,496.81,28.35,163,355.96,750,False,6
139,Snacks,Lays,350.05,27.53,118,253.68,250,False,4
140,Dairy,Cheese,247.96,10.05,38,223.04,500,False,2
141,Fruits,Apple,416.38,0.85,1,412.84,250,False,1
142,Beverages,Coke,119.14,19.09,161,96.4,100,False,8
143,Fruits,Mango,473.37,15.13,120,401.75,1000,False,4
144,Vegetables,Cabbage,167.26,22.72,165,129.26,250,False,2
145,Dairy,Curd,403.59,9.93,158,363.51,750,False,7
146,Dairy,Curd,404.97,24.42,80,306.08,250,False,1
147,Beverages,Pepsi,168.41,45.21,31,92.27,250,False,2
148,Beverages,Coke,229.6,36.77,183,145.18,250,False,4
149,Dairy,Curd,397.74,37.28,160,249.46,250,False,7
150,Vegetables,Tomato,132.13,49.55,141,66.66,250,False,7
151,Vegetables,Tomato,129.46,24.0,22,98.39,750,False,5
152,Dairy,Butter,377.71,38.29,198,233.08,250,False,9
153,Fruits,Banana,44.36,46.43,109,23.76,100,False,6
154,Dairy,Butter,438.46,32.96,109,293.94,100,False,9
155,Fruits,Grapes,367.44,23.18,187,282.27,500,False,8
156,Dairy,Paneer,38.68,22.95,90,29.8,1000,False,8
157,Dairy,Curd,184.11,2.15,139,180.15,100,False,4
158,Vegetables,Tomato,232.39,44.11,184,129.88,250,False,1
159,Beverages,Juice,157.87,8.68,163,144.17,750,False,1
160,Dairy,Milk,151.73,47.71,134,79.34,100,False,5
161,Snacks,KurKure,263.0,47.19,198,138.89,1000,False,6
162,Beverages,Pepsi,194.16,46.55,33,103.78,250,False,2
163,Snacks,Bingo,223.38,44.37,130,124.27,100,False,7
164,Fruits,Orange,369.98,49.37,184,187.32,100,False,9
165,Snacks,Lays,199.04,24.84,82,149.6,100,False,4
166,Vegetables,Tomato,416.66,44.06,96,233.08,100,False,7
167,Fruits,Grapes,261.09,26.47,119,191.98,1000,False,1
168,Vegetables,Tomato,475.11,12.89,145,413.87,1000,False,4
169,Snacks,Bingo,50.77,16.61,136,42.34,1000,False,6
170,Snacks,Oreo,471.36,10.52,57,421.77,750,False,1
171,Dairy,Milk,341.82,41.59,0,199.66,100,True,9
172,Beverages,Juice,208.77,21.39,129,164.11,500,False,2
173,Beverages,Juice,182.63,1.16,20,180.51,750,False,9
174,Vegetables,Potato,293.22,3.41,8,283.22,1000,False,7
175,Dairy,Cheese,272.33,20.98,93,215.2,1000,False,8
176,Snacks,Lays,207.24,10.68,114,185.11,250,False,7
177,Vegetables,Onion,211.73,29.37,69,149.54,100,False,1
178,Dairy,Butter,458.1,8.31,178,420.03,750,False,9
179,Fruits,Grapes,323.82,18.3,3,264.56,250,False,7
180,Beverages,Juice,266.97,26.57,76,196.04,100,False,2
181,Fruits,Apple,94.04,44.09,169,52.58,750,False,4
182,Dairy,Curd,384.66,9.2,37,349.27,1000,False,8
183,Snacks,Lays,465.94,11.93,128,410.35,750,False,1
184,Fruits,Orange,483.87,27.85,111,349.11,750,False,3
185,Fruits,Banana,101.3,27.78,85,73.16,250,False,2
186,Beverages,Coffee,188.21,43.18,0,106.94,750,True,3
187,Beverages,Tea,208.9,4.29,141,199.94,500,False,9
188,Fruits,Mango,481.41,24.89,81,361.59,1000,False,7
189,Vegetables,Potato,473.5,1.67,107,465.59,500,False,3
190,Beverages,Coffee,163.98,17.73,138,134.91,250,False,8
191,Dairy,Milk,460.15,27.98,116,331.4,250,False,4
192,Snacks,Lays,193.26,5.12,75,183.37,500,False,8
193,Dairy,Curd,359.59,2.83,88,349.41,250,False,7
194,Fruits,Grapes,113.0,30.46,123,78.58,1000,False,5
195,Snacks,Lays,402.04,49.33,99,203.71,500,False,7
196,Beverages,Coke,125.27,36.28,172,79.82,1000,False,5
197,Vegetables,Tomato,364.3,10.67,8,325.43,100,False,7
198,Snacks,Bingo,305.69,19.57,67,245.87,500,False,8
199,Fruits,Apple,351.4,35.69,193,225.99,750,False,2
200,Dairy,Milk,146.94,37.25,157,92.2,250,False,6
201,Dairy,Curd,365.15,35.18,116,236.69,1000,False,6
